Alliance,Countries,Entity,Id,Inflation..Most.recent.year,Regime type,Regimenarrowcat,Black.market.exchange.rates,Capital.controls,Centralized.collective.bargaining,Conscription,Controls.of.the.movement.of.capital.and.people,Credit.market.regulations,Economic.Freedom.Summary.Index,Electdem Vdem Owid,Financial.Openness,Freedom.to.own.foreign.currency.bank.accounts,Freedom.to.trade.Internationally,Gender.Legal.Rights.Adjustment,Government.consumption,Government.investment,Hours.Regulations,Impartial.courts,Impartial.Public.Administration,Indiv Libs Vdem Owid,Integrity.of.the.legal.system,Interest.rate.controls.negative.real.interest.rates.,Judicial.independence,Labor.market.regulations,Legal.enforcement.of.contracts,Legal.System...Property.Rights,Libdem Vdem Owid,Money.growth,Ownership.of.banks,Private.sector.credit,Regulation,Revenue.from.trade.taxes....of.trade.sector.,Size.of.Government,Sound.Money,Standard.deviation.of.inflation,State.ownership.of.assets,Tariffs,Transfers.and.subsidies
not a US ally,Georgia,Georgia,59,8.775522245,Single-party rule,4,3.112635245,1.043538342,6.104443940,3.205625505,1.681962882,3.163972014,4.735537148,0.102,2.442191863,2.277987399,2.621014042,0.82,6.072826578,3.328426810,5.940481324,5.346696009,3.603542089,0.094,3.539067502,7.357235140,3.63,5.028669056,4.605980207,3.858608195,0.024,8.154260565,0.743016332,5.506354417,4.200692575,2.440367168,5.194619822,6.734659131,7.323595303,3.562889542,2.372405518,9.503275165
US ally,Germany,Germany,60,9.31,Democracy,0,10,8,4.49,1,9,7.8,7.65,0.862,10,10,9.56,0.88,5.18,7.79,4.4,9.2,9.9,0.982,7.78,10,8.17,3.29,8.25,7.86,0.82,9.005093233,5,8.41,5.55,9.67,5.78,9.49,9.16,7.85,9.67,6.1
not a US ally,Ghana,Ghana,61,9.42,Democracy,0,0,0,7.424812212,10,0.83,6.08,4.5,0.386,1.66,0,0.28,0.71,7.43,4.097161287,6.605499062,4.36,3.25,0.77,5.72,7.018685567,5.57,6.767039526,4.383204794,4.45,0.3,9.28,1.766647279,6.08,5.72,0,5.48,6.57,7.6,5.02,0,9.49
US ally,Greece,Greece,62,9.22,Military rule,7,9.6,2,4.49,0,1.83,4.9,6.01,0.074,1.66,5,6.1,0.76,8.52,6.293553732,6.33,3.84,3.86,0.232,2.98,8,4.04,3.61,6,3.72,0.066,9.63,2,4.7,4.25,6.87,7.61,8.35,9.56,4.69,6.87,9.61
US ally,Guatemala,Guatemala,63,9,Democracy,2,8.2,2,7.202627433,0,1.83,8.76,5.9,0.178,1.66,0,5.32,0.71,9.06,8.86,7.252726471,3.8,1.47,0.049,1.54,6.994743479,5.66,5.310264403,4.537167487,3.13,0.08,9.3,8,9.52,4.86,5.93,9.29,6.88,9.2,9.31,5.93,9.94
not a US ally,Guinea,Guinea,64,9.070574224,Single-party rule,4,3.824667736,0.388730584,5.708914999,0.076062165,1.66,1.903232847,4.335156801,0.143,1.66,2.198872905,2.566449421,0.59,5.853017352,3.188018446,6.100890382,3.48,2.7,0.115,3.24,7.434721906,2.67,4.154965217,4.063418900,2.49,0.036,8.185673705,-0.824774722,5.152040249,3.335712310,2.387724305,5.048373125,6.834429136,7.346908667,2.5,2.316404488,9.765918163
not a US ally,Guinea-Bissau,Guinea-Bissau,65,6.969131313,unknown,NA,3.160480436,0,3.652118447,-0.765110788,0,-0.023335051,3.743326273,0.012,0.358280544,1.302919737,2.299491073,0.41,5.7,2.931486681,5.210619499,7.93,1.45,0.012,2.66,5.260526658,4.35,3.397981836,4.828260642,3.52,0.011,5.836418089,-0.502123724,3.969029697,2.923698620,3.835938268,3.36,4.521598668,4.868396234,1.02,3.352882169,8.061499126
not a US ally,Guyana,Guyana,66,9.39,Personalist rule,6,8.2,0,5.642855393,1.434939100,0.83,6.82,6.29,0.325,1.66,1.058275042,4.94,0.88,5.35,5.185184119,5.801199550,7.99,6.68,0.747,4.78,8.197707483,6.29,4.519131464,6.404144838,5.98,0.218,8.82,4.378342852,6.82,5.089751594,5.79,5.12,9.13,9.19,4.9,5.79,8.107353615
US ally,Haiti,Haiti,67,9.06,Personalist rule,6,10,0,8.187469806,10,2.54,9.23,6.15,0.144,5.09,10,4.830519391,0.47,8.73,8.238581042,7.130924493,3.67,0.26,0.083,1.1,7.737398135,2.69,5.835002271,3.630937758,1.83,0.029,8.33,2.891236412,9.23,5.74,3.975583952,7.86,9.18,9.31,6.99,4.062926436,10.924050024
US ally,Honduras,Honduras,68,9.11,Military rule,7,4,2,8.180782939,10,6,9.04,6.24,0.14,10,10,5.24,0.82,7.81,4.26,6.196100738,3.96,3.67,0.246,2.28,8.994041271,4.47,6.097213116,4.749763532,3.26,0.055,8.99,3.917390167,9.04,6.28,5.73,6.96,9.43,9.62,5.83,5.73,9.96
not a US ally,"Hong Kong SAR, China",Hong Kong,69,8.29,unknown,NA,10,5,7.93,10,6.67,10,8.42,0.167,8.34,10,8.89,1,8.87,10,5.522318609,9.7,7.65,0.926,6.65,8.163035209,7.89,6.306067731,7.427585461,8.08,0.185,8.668498803,10,10.097668218,6.95,10,9.36,8.85,8.26,8.56,10,7.623199543
not a US ally,Hungary,Hungary,70,9.02,Single-party rule,4,0,0,5.594109222,0,0,0,4.81,0.133,0.723111470,0,1.800363639,0.94,7.33,2.045232453,5.822087097,5.1,5.97,0.337,5.73,7.538155633,5.76,4.905031009,5.75,5.42,0.097,8.783565406,0,4.862428297,3.47,1.821153603,4.26,6.1,9.29,1.18,1.803291080,9.041912372
US ally,Iceland,Iceland,71,6.71,Democracy,0,9,0,4.49,6.707556116,0.83,9.21,6.19,0.836,1.66,0,4.39,1,6.67,6.89,5.746686630,9.74,6.6,0.952,7.29,5.752107506,8.06,5.981210872,6.972839017,8.36,0.733,7.95,7.119677330,9.21,5.88,3.33,6.79,5.56,7.56,6.79,3.33,7.345446106
not a US ally,India,India,72,9.67,Democracy,0,0,0,7.494723918,10,0.83,5.31,5.46,0.671,1.66,0,1.864810155,0.71,8.69,3.47,6.581604992,7.74,6.82,0.686,4.77,8,6.84,6.781105676,3,4.77,0.501,8.93,0,7.92,5.77,1.352770530,4.61,6.69,8.15,6.27,1.446638725,10.064909384
not a US ally,Indonesia,Indonesia,73,7.28,Military rule,7,6.6,0,5.086436164,3,2.68,1,4.73,0.186,5.37,10,4.89,0.29,9.04,7.421677697,5.834752083,1.5,2.23,0.22,2.47,2,2.83,4.164287810,3.75,1.71,0.059,4.508904837,0,6.533455225,3.38,5.4,7.93,5.76,0,5.37,5.4,9.4
US ally,"Iran, Islamic Rep.",Iran,74,9.67,Monarchy,8,9,5,6.754584467,0,3.33,9.73,5.34,0.115,1.66,5,4.91,0.41,6.924671522,2.85,6.451846227,6.5,5.95,0.4,4.36,8.456978315,4.04,4.676682507,1.25,2.85,0.083,9.13,2.376134709,9.73,5.1,2.4,5.49,8.34,9.56,4.67,2.4,8.96
not a US ally,Iraq,Iraq,75,9.276752345,Single-party rule,4,7.623483274,-0.562705919,4.864083861,-3.427860048,0,3.467845629,4.867662146,0.051,0,-0.512816510,4.097371733,0.35,5.226351968,5.307277494,6.248648320,6.86,4.05,0.276,4.68,7.473050466,3.32,3.252959345,5.212963682,3.35,0.061,9.78,1.446926732,6.485191707,3.567658177,4.853092923,5.421362078,6.975293736,8.985396405,4.39,4.798952550,8.645135711
not a US ally,Ireland,Ireland,76,8.05,Democracy,0,10,5,5.18,5.106379519,3.75,6.44,6.72,0.819,2.51,0,6.38,0.88,6.9,9.77,5.45,9.06,7.35,0.941,7.37,4,8,5.321325585,7.5,7.51,0.714,9.6,8,7.31,5.6,5.4,7.44,6.64,8.92,6.57,5.4,6.53
not a US ally,Israel,Israel,77,8.09,Democracy,0,4,2,5.18,0,3.24,2.97,5.02,0.692,4.49,0,3.77,0.88,0.8,2.094691657,4.823606344,8.28,7.73,0.888,7.32,8.038889346,6.21,4.141611262,7,6.78,0.601,8.27,0,5.94,4.37,4.07,4.08,6.1,8.05,4.23,4.07,7.2
US ally,Italy,Italy,78,8.63,Democracy,0,9.6,5,4.49,0,4.58,6.93,6.25,0.755,4.16,0,8.02,0.76,6.39,7.717548774,6.69,6.97,6.41,0.899,6.33,8,6.49,3.72,4.5,5.36,0.651,7.8,5,7.8,5.33,9.87,6.12,6.42,9.26,6.09,9.87,5.88
US ally,Jamaica,Jamaica,79,8.88,Democracy,0,8.8,2,5.909249303,3.539964852,3.08,8.15,6.192338407,0.528,4.16,3.626178534,5.550280171,0.88,7.02,5.410696573,5.524481365,7.71,6.14,0.736,5.12,8.155848080,7.17,4.893249313,6.533998394,6.27,0.404,7.98,5.179462095,8.15,5.510687305,5.866303415,3.77,8.7,9.23,4.29,5.840283912,7.998161032
US ally,Japan,Japan,80,8.71,Democracy,0,9.8,2,7.93,10,3.08,7.15,7.31,0.839,4.16,0,7.01,0.94,8.1,5.63,5.81,9.21,8.64,0.966,7.88,4,7.55,7.91,6.75,7.62,0.749,7.57,8,9.46,7.53,8.13,7.88,6.5,9.72,8.07,8.13,9.7
not a US ally,Jordan,Jordan,81,8.82,Monarchy,8,8.8,2,7.93,0,1.83,9.31,5.17,0.124,1.66,0,4.592297306,0.35,8.063379041,8.16,6.802268322,6.62,3.8,0.612,6.13,6.555330601,4.85,5.144827745,5.111252164,3.97,0.158,8.735798957,4.470791194,9.31,5.12,5.362591811,7.16,4.41,8.649233494,6.17,5.292306067,9.134104075
not a US ally,Kazakhstan,Kazakhstan,82,8.677067500,Single-party rule,4,4.410153794,1.448264585,6.188062838,3.825631663,2.026408011,4.680521771,5.233615023,0.102,2.762393341,2.318446197,3.473762867,0.82,6.321189838,4.474996917,5.944920466,6.025843114,4.605120114,0.094,4.308165796,7.391545819,4.901198941,5.194968667,5,4.552492478,0.024,8.383529149,2.438229907,6.358905137,4.776367566,3.518693820,5.684555667,6.921079358,7.783224675,4.454018033,3.459916974,9.105267868
not a US ally,Kenya,Kenya,83,6.94,Single-party rule,4,3.8,0,6.493698692,10,0.83,7.96,4.9,0.198,1.66,0,3.63,0.71,5.51,7.45,6.351742128,4.86,3.31,0.287,2.65,8,5.13,5.718922651,4.944447849,3.6,0.116,8.42,3.328836433,7.92,6.15,6.27,5.36,5.78,7.75,4.14,6.27,9.7
not a US ally,Kuwait,Kuwait,84,9.89,Monarchy,8,10,2,5.507804925,-1.565005108,5.17,10,6.912356519,0.257,8.34,10,8.562271730,0.41,4.12,6.931130250,5.453045476,6.86,5.07,0.726,5.84,9.580044558,6.41,3.170885978,6.827540553,4.5,0.269,9.684479708,5.778719501,10,5.005758061,8.763398679,5.15,9.86,9.7,6.18,8.815170121,7.633715705
not a US ally,Kyrgyz Republic,Kyrgyzstan,85,8.790984500,Single-party rule,4,2.585925351,0.840821758,6.120053271,3.102853108,1.495686253,2.667147547,4.543789664,0.102,2.262425928,2.158906492,2.247583087,0.82,6.061647287,2.974573467,5.976917411,5.055526372,3.191818770,0.094,3.235105970,7.300524195,3.22,5.022988686,4.362271304,3.581965779,0.024,8.070735674,0.121847318,5.245814320,4.010850387,1.981033724,5.071439032,6.635294040,7.152537121,3.267025655,1.910843341,9.695219305
not a US ally,Lao PDR,Laos,86,8.310338965,Monarchy,9,8.606204765,3.570455330,7.357452572,4.574222277,5.51,8.243913345,6.171157030,0.243,5.51,7.569013125,6.005598695,0.53,9.454410473,8.766482205,6.584068153,3.98,1.59,0.229,1.74,7.338518760,4.68,5.310422471,4.396620785,2.65,0.125,8.101473856,4.167890088,8.983632635,5.332312532,5.831701522,8.556560526,8.052833113,7.566738558,8.02,5.768299719,9.873970256
not a US ally,Latvia,Latvia,87,8.738186558,unknown,99,4.384446941,1.533024727,6.066753115,3.453783244,2.131752791,4.363621336,5.198537171,0.102,2.876260828,2.565524224,3.522713178,0.82,6.099820475,4.182853176,5.852501506,6.049764155,4.597703273,0.094,4.273023394,7.494171325,4.62,5.042385070,5.194448045,4.526598419,0.024,8.355942621,2.242912243,6.135463431,4.659092004,3.549489385,5.492056366,6.974589473,7.736638229,4.277292584,3.486909310,9.039800291
not a US ally,Lebanon,Lebanon,88,8.935776824,Personalist rule,6,8.559632760,7.021832293,7.375637136,6.555437902,10,8.466977169,7.098095011,0.401,10,12.918559481,7.872203908,0.82,8.039684435,6.668152562,5.373675035,6.13,3.5,0.642,3.71,9.146246460,4.61,5.287465425,5.726793153,4.39,0.23,8.235999016,5.686730173,7.944371446,5.954980850,7.021047644,7.405280405,9.556246192,7.580035808,7.54,7.016882234,8.936537367
not a US ally,Lesotho,Lesotho,89,7.811262841,Single-party rule,4,9.142465890,1.420955226,5.810146442,1.503938319,2.111472285,7.165754495,5.766472232,0.148,2.708631822,2.964728014,5.563330770,0.35,7.982831009,8.764188868,6.402099650,5.02,2.05,0.427,5.02,6.383310423,6.19,4.472244035,5.266294038,3.66,0.115,7.955848674,4.561387827,8.623090942,4.969443671,6.644635237,7.680687402,6.758515432,7.798177553,6.31,6.454336364,8.638743599
US ally,Liberia,Liberia,90,9.627911736,Single-party rule,4,10.318237165,6.591806126,7.705774411,4.131936747,10,8.839989652,7.111670319,0.186,10,12.908406148,8.292160415,0.59,8.587709618,7.712198299,5.939583996,2.55,2.61,0.275,3.54,9.622543278,4.96,4.805680510,5.105835076,2.92,0.106,8.979890927,4.986709278,8.669697789,5.548403125,7.144229951,8.102316932,10.283464498,8.482258661,7.16,7.246761325,9.598385015
not a US ally,Libya,Libya,91,8.872980110,Military rule,7,3.906962491,0.421007380,5.743021860,0.707849730,1.66,2.360985692,4.436864324,0.073,1.66,2.005893174,2.637990224,0.59,6.026116218,3.551610645,6.104847380,3.23,2.1,0.135,3.61,7.244792191,4.02,4.337383079,4.207214770,2.87,0.029,8.107223234,-0.285296352,5.400056194,3.562973009,2.589118342,5.220390925,6.691925237,7.305111081,2.18,2.500493762,9.647263722
not a US ally,Lithuania,Lithuania,92,8.713296100,unknown,99,5.232321404,1.859348984,6.041625899,3.619221736,2.431612730,5.163387551,5.507203853,0.102,3.165640137,2.757215440,4.123845935,0.82,6.117816407,4.752470753,5.793848293,6.518476253,5.260477396,0.094,4.762327322,7.585462115,5.28,5.051529080,5.586759938,4.971925234,0.024,8.490397325,3.242842850,6.554869440,4.964691624,4.288904196,5.690347394,7.134543034,8.012000181,4.753561279,4.229911839,8.730817041
US ally,Luxembourg,Luxembourg,93,6.98,Democracy,0,10,10,5.18,10,10,10,7.56,0.869,9.414512098,10,9.96,0.47,7.75,8.657668917,4.614797211,7.13,9.68,0.982,7,10,7.86,4.640641873,7.881507711,5.39,0.776,7.607037014,10,8.837240570,6.99,9.87,7.14,8.34,8.04,8.37,9.87,5.3
not a US ally,Madagascar,Madagascar,94,8.62,Personalist rule,6,9.6,0,6.894545177,0,1.13,4.75,5.58,0.253,2.26,0.453887787,3.58,0.59,7.6,6.648707036,6.991561003,3.71,6,0.474,3.73,7.656768888,4.81,5.066738118,4.422851059,3.24,0.134,9.14,0,9.5,4.42,0,7.72,8.92,9,6.57,0,9.01
not a US ally,Malawi,Malawi,95,8.24,Personalist rule,6,6.8,2,6.033591780,2.662951239,1.83,8.56,5.63,0.21,1.66,0,5.08,0.71,6.37,5.75,6.215944766,6.69,3.45,0.163,4.49,7.091106000,5.11,4.921067827,5.491102866,4.63,0.089,9.06,3.950763089,8.56,5.057407785,6.6,6.39,6.43,8.4,3.8,6.6,9.64
not a US ally,Malaysia,Malaysia,96,9.92,Multi-party authoritarian rule,5,9.8,5,7.93,10,4.58,7.44,6.36,0.145,4.16,0,6.35,0.65,5.47,6.793761448,6.129890605,8.27,5.91,0.678,5.37,8.257126676,5.85,5.865457124,6,5.25,0.132,9.71,5,9.88,6.37,4.67,6.71,7.12,8.84,6.53,4.67,8.14
not a US ally,,Maldives,97,8.649355650,Personalist rule,6,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.171,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.403,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.068,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Mali,Mali,98,8.78,Military rule,7,9.4,0,6.403132537,2.459367949,0.83,8.71,5.487475984,0.102,1.66,0,4.240546738,0.53,8.52,8.158557196,6.822556698,3.92,3.96,0.454,4.57,6.499581310,5.36,5.094788944,4.826399579,3.53,0.096,9.13,3.747636966,8.71,5.014448535,4.913446311,7.1,6.2,6.88,5.68,4.835286337,9.341284752
not a US ally,Malta,Malta,99,9.47,Democracy,0,9.4,2,5.391272514,0.408067619,2,4.24,6.05,0.707,3.556927782,3.001441389,5.44,0.82,5.9,4.418387990,5.502449491,7.97,5.1,0.905,5.76,8.579215149,5.17,4.016309848,6.323822581,5.75,0.528,9.37,0,8.49,4.75,4.93,5.07,9.26,8.93,2.78,4.93,6.52
not a US ally,Mauritania,Mauritania,100,11.604108947,Personalist rule,6,7.356118612,0.851727565,4.787396477,-6.698551658,2.26,1.141772417,4.974605792,0.211,2.26,2.192406560,4.757849953,0.47,2.655282080,0,5.615388799,2.88,7.62,0.537,3.93,10.404420285,4.69,2.145898165,5.514049949,2.82,0.119,10.665821743,-0.563490642,4.495378797,2.717774400,4.128169511,2.02,9.218902558,10.516522993,4.04,4.344067050,8.748132156
not a US ally,Mauritius,Mauritius,101,9.69,Democracy,0,0,2,7.587940179,6.069124325,2,8.08,6.43,0.685,3.496742606,1.735125400,2.53,0.71,7.29,7.116410724,6.645015852,5.01,7.98,0.864,6.38,8.188301789,6.34,6.218630288,5.606793273,5.04,0.578,9.98,5.418807933,8.08,6.169439216,5.6,8.53,9.62,9.18,9.04,5.6,9.26
US ally,Mexico,Mexico,102,8.21,Multi-party authoritarian rule,5,10,2,6.976374771,3,6,4.72,6.55,0.248,10,10,6.93,0.88,9.35,5.491164075,5.750203918,4.54,3.46,0.477,3.94,8.950468758,4.81,4.882618283,5.75,4.48,0.111,9.31,3.496983899,4.72,4.35,4.8,7.8,9.18,9.21,4.52,4.8,9.52
not a US ally,Moldova,Moldova,103,8.742334968,Single-party rule,4,4.243134530,1.478637351,6.070940985,3.426210162,2.081776134,4.230326967,5.147092724,0.102,2.828030943,2.533575688,3.422524385,0.82,6.096821153,4.087916913,5.862277041,5.971645472,4.487240919,0.094,4.191472739,7.478956193,4.51,5.040861068,5.129062730,4.452377283,0.024,8.333533504,2.076257142,6.065562429,4.608158734,3.426253583,5.459007861,6.947930546,7.690744571,4.197914468,3.363075555,9.091297499
not a US ally,Mongolia,Mongolia,104,9.781010842,Single-party rule,4,0.453422675,-0.171479930,5.371575497,0.437231987,0.278906672,-0.549042380,3.844838625,0.177,1.168798942,0.268121757,0.968936099,0.94,3.679553797,-0.490298791,5.566495830,5.24,6.18,0.131,2.72,8.182626177,2.68,4.281857699,4.467946149,3.44,0.056,8.640700421,-2.299971777,3.091024326,3.030306312,0.358533515,2.942562634,6.721483195,7.623805061,0.34,0.367118559,9.563582043
not a US ally,Morocco,Morocco,105,9.31,Monarchy,8,7.8,0,6.264918130,1,0.83,5,5.21,0.137,1.66,0,4.77,0.47,7.63,10,6.933814795,3.91,2.85,0.388,3.77,7.016928583,5.44,4.484017284,3.25,3.01,0.112,9.47,5,8.356647718,3.96,5.67,7.35,6.95,9.02,4.44,5.67,9.551343705
not a US ally,Mozambique,Mozambique,106,8.518818341,unknown,NA,5.837770658,1.116669998,5.920261206,1.104806555,1.956915980,4.083463646,4.927155745,0.028,2.695413167,3.287573541,3.810572637,0.53,6.981273138,5.463402226,6.229706680,4.88,2.9,0.04,2.46,7.026019846,3.3,4.382150927,4.378618839,2.71,0.022,7.962965662,1.217184060,6.561029764,4.006515957,4.010707305,6.249734135,6.887514025,7.314946747,4.83,3.888550249,9.477920504
not a US ally,Myanmar,Myanmar,107,9.71,Military rule,7,0,0,6.052802310,0,0.83,2.47,3.4,0.07,1.66,0,1.08,0.88,5.603195304,2.056224741,6.196545908,4.14,1.03,0.081,2.19,7.592802825,2.45,4.637512109,3.827426345,2.75,0.016,8.87,0,4.94,3.22,2.4,4.620665246,6.55,7.61,2.05,2.4,10.178073351
not a US ally,Namibia,Namibia,108,8.420174753,Other oligarchy,10,10.057068115,2.933407690,5.957123742,1.355116468,3.895521942,7.553068118,6.262781266,0.063,4.622003687,5.568010708,6.747081405,0.47,7.550596379,8.316219445,6.066295320,7.1,5.59,0.118,3.22,7.480065979,4.55,4.234463268,5.682818146,3.64,0.057,8.373547786,5.118661101,8.512269123,5.124063682,7.392838328,7.471350529,7.833795027,8.250835624,7.91,7.279033590,8.438193771
not a US ally,Nepal,Nepal,109,8.59,Monarchy,8,0,0,6.327672355,2.960634246,0.83,0,4.158292548,0.093,1.66,0,0.48,0.71,6.122147532,2.603495721,6.315791832,3.03,3.11,0.202,3.26,7.147028446,4.32,5.225692889,3.875497623,3.01,0.081,9.12,0,5.102816655,3.777369269,0.6,4.994371552,6.23,7.2,3.03,0.6,10.213081262
US ally,Netherlands,Netherlands,110,8.77,Democracy,0,10,2,5.18,0,4.5,8.91,7.39,0.846,6.99,10,7.79,0.88,5.81,6.78,2.73,9.25,9.08,0.979,7.6,10,7.47,2.63,8,7.6,0.794,9.53,10,6.73,5.77,8.87,6.3,9.48,9.61,7.58,8.87,5.04
US ally,New Zealand,New Zealand,111,7.34,Democracy,0,7.8,5,5.18,10,3.33,6.48,6.63,0.85,1.66,0,6.44,0.88,6.75,5.76,4.4,9.81,9.65,0.973,7.36,6.913879820,8.01,6.52,7.680024176,7.9,0.782,9.63,5,7.97,6.5,8.2,6.11,6.18,7.78,5.81,8.2,6.822784365
US ally,Nicaragua,Nicaragua,112,9.77,Military rule,7,6.2,5,7.519253032,3,7.5,6.305035718,6.36,0.172,10,10,6.9,0.88,8.53,5.534658512,5.934379813,3.63,0.63,0.112,0.93,9.459771530,2.58,4.743880121,4.389492753,2.24,0.036,8.89,2.381730671,7.181074887,4.741241427,7,6.91,9.39,8.91,5.28,7,10.130821439
not a US ally,Niger,Niger,113,8.57,Personalist rule,6,9.6,0,6.437328797,2.596421756,1.13,9.56,5.920406888,0.188,2.26,0,5.053112227,0.47,9.15,10,6.885751141,5.15,6.78,0.397,5.53,6.510907637,4.94,5.146549748,5.293593324,3.83,0.129,9.49,5.233168987,9.56,5.471365856,5.971279435,8.24,6.45,7.76,5.58,5.903412586,8.995413693
not a US ally,Nigeria,Nigeria,114,0,Military rule,7,0,0,5.667293559,10,0.83,2,4.15,0.189,1.66,0,2.14,0.71,9.02,8.145576508,6.253633236,4.76,0.47,0.374,2.85,2,4.08,6.436593846,4,3.35,0.09,8.39,2.891425931,7.349757648,4.56,5.6,8.1,2.61,2.07,5.38,5.6,9.92
not a US ally,,North Korea,115,8.649355650,Personalist rule,6,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.091,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.007,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.016,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,North Macedonia,North Macedonia,116,8.832082963,Single-party rule,4,2.174443076,1.175735516,6.230182145,4.257596576,1.759921410,3.013432515,4.729072560,0.094,2.524933955,2.158982748,2.284282110,0.94,5.836166024,2.654414478,5.822585789,5.710888905,3.906599516,0.617,3.832671166,7.481875680,3.76,5.330684702,4.717908681,4.308337422,0.12,8.196806926,0.743835550,5.202040939,4.354666427,1.953178131,4.888503377,6.713177005,7.295719797,3.318253654,1.903491063,9.503142349
US ally,Norway,Norway,117,7.44,Democracy,0,10,0,5.18,1,2.08,8.36,6.93,0.848,4.16,0,7.01,1,4.71,10,6.33,9.78,9.58,0.978,7.57,6.958357889,8.52,4.17,8.75,8.65,0.81,9.01,10,6.72,6.26,8.93,6.48,6.25,8.56,6.69,8.93,4.54
not a US ally,Oman,Oman,118,8.75,Monarchy,8,9.500053634,2,3.661311481,-6.293490712,2,2.103720696,5.284010630,0.013,3.668399707,4.881654028,6.440342571,0.47,0.05,3.885681538,5.032168369,5.69,5.2,0.402,4.27,8.610660452,4.08,1.675800453,6.172040263,3.44,0.045,8.492269159,1.629760054,5.137422449,3.020197922,9.47,4.58,8.16,7.57,4.43,9.47,9.27
US ally,Pakistan,Pakistan,119,9.14,Military rule,7,0,2,8.077525675,10,1,5.23,4.79,0.168,0,0,0.44,0.71,8.49,5.57,7.098026556,4.62,6.3,0.383,3.73,8,4.34,6.948609094,3.25,3.4,0.09,9.83,0,7.69,5.69,0.33,7.45,6.98,8.96,5.75,0.33,10
not a US ally,,Palestine/West Bank,120,8.649355650,unknown,NA,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.083,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.163,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.083,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
US ally,Panama,Panama,121,9.79,Military rule,7,10,8,7.747493235,5.224274478,9,9.74,7.15,0.09,10,10,8.62,0.88,7.821326235,6.8,5.745246336,4.03,2.25,0.37,3.1,9.963231258,5.72,5.168267194,5.575641062,4.03,0.074,9.33,5.313653274,9.74,5.841696330,6.87,6.22,9.71,9.74,5.64,6.87,9.374186835
not a US ally,Papua New Guinea,Papua New Guinea,122,8.87,unknown,NA,8.273722418,0,5.487245081,-0.496578282,0,5.828609726,5.891750676,0.302,2.287479488,0.531351595,5.302815201,0.82,2.32,5.556455646,5.961549589,6.72,7.51,0.571,4.31,8.482668295,6.04,4.041122421,6.400816651,5.19,0.234,9.945906569,4.241562405,7.250674372,4.842833715,5.751364332,5.67,9.16,9.45,9.02,5.822437112,8.105483527
