Alliance,Countries,Entity,Id,Inflation..Most.recent.year,Regime type,Regimenarrowcat,Black.market.exchange.rates,Capital.controls,Centralized.collective.bargaining,Conscription,Controls.of.the.movement.of.capital.and.people,Credit.market.regulations,Economic.Freedom.Summary.Index,Electdem Vdem Owid,Financial.Openness,Freedom.to.own.foreign.currency.bank.accounts,Freedom.to.trade.Internationally,Gender.Legal.Rights.Adjustment,Government.consumption,Government.investment,Hours.Regulations,Impartial.courts,Impartial.Public.Administration,Indiv Libs Vdem Owid,Integrity.of.the.legal.system,Interest.rate.controls.negative.real.interest.rates.,Judicial.independence,Labor.market.regulations,Legal.enforcement.of.contracts,Legal.System...Property.Rights,Libdem Vdem Owid,Money.growth,Ownership.of.banks,Private.sector.credit,Regulation,Revenue.from.trade.taxes....of.trade.sector.,Size.of.Government,Sound.Money,Standard.deviation.of.inflation,State.ownership.of.assets,Tariffs,Transfers.and.subsidies
US ally,Paraguay,Paraguay,123,9.62,Military rule,7,6.6,5,7.547008220,0,3.33,7.018942743,6.14,0.162,1.66,10,4.4,0.53,8.7,10,6.941911095,2.98,0.71,0.098,1.08,8.204530868,3.51,4.894143869,3.810150440,1.93,0.042,9.17,2.247138334,8.492560003,4.631408823,3.27,8.77,9.47,9.11,6.66,3.27,9.71
US ally,Peru,Peru,124,8.14,Military rule,7,7.2,0,5.862382120,0,1.2,5.62,5.01,0.096,2.4,0,4.16,0.71,7.44,10,6.486774411,5.22,3.65,0.317,2.82,6.355230009,2.25,4.578918081,4.75,3.21,0.038,7.12,1.956865849,5.62,4.03,4.07,7.71,5.94,8.51,3.91,4.07,9.5
US ally,Philippines,Philippines,125,8.43,Personalist rule,6,0,0,6.667566687,3,1.73,6.3,5.01,0.357,3.46,0,2.15,0.41,8.15,6.784625763,6.759018386,4.06,3.36,0.373,4.4,6.894994429,4.93,5.302184107,5.75,3.38,0.249,8.98,2.656661812,6.3,4.6,4.73,8.15,6.75,9.59,6.29,4.73,10
not a US ally,Poland,Poland,126,8.742972920,Single-party rule,4,0,0,4.690973385,0,0,0,4.493231849,0.188,1.664863010,5,2.534805587,0.88,3.774273649,1.194871832,5.093055618,7.87,6.07,0.523,5.46,7.473904677,5.06,4.191022165,5,5.51,0.134,7.908318295,0,3.909321800,3.49,2.907194535,3.365387832,6.246703684,7.153454712,3.85,2.751990204,8.199904051
US ally,Portugal,Portugal,127,9.61,Personalist rule,6,10,2,5.18,0,1.83,4.48,5.46,0.146,1.66,0,6.57,0.41,6.95,7.454530200,6.95,7.34,6.58,0.347,4.12,7.644845433,4.41,4.04,4.75,3.64,0.082,9.85,0,8.96,4.26,7.87,5.69,7.15,9.15,7.13,7.87,8.592321753
not a US ally,Qatar,Qatar,128,8.582441185,unknown,NA,6.032036346,0.697339294,5.131582748,-0.275106198,1.253896567,3.442470369,4.911503796,0.017,1.946263354,1.885288626,3.937595706,0.53,5.713558044,4.754468649,5.868564720,5.92,4.71,0.352,3.21,7.110461700,4.91,3.904226785,5.146901618,3.58,0.064,8.099242933,1.626877370,6.045827739,3.913651925,4.555989834,5.401423137,6.664501545,7.637816555,3.47,4.407421025,8.654865199
not a US ally,,Republic of Vietnam,129,8.649355650,Military rule,7,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.315,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.32,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.198,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Romania,Romania,130,8.647560904,Single-party rule,4,0,0,4.458433103,0,0,0,3.558672726,0.188,0.863258087,0,0.795845826,0.94,3.312111277,-0.940512992,5.004957945,6.65,2.63,0.114,3.44,7.130563176,3.18,4.059937306,4.795836904,4.29,0.044,7.259213570,0,0,2.8,0.910072504,2.407640623,5.594331346,6.058957278,0.34,0.701123868,8.771751671
not a US ally,Russian Federation,Russia,131,7.998311843,Single-party rule,4,0,0,4.305781794,0,0,0,3.679421443,0.102,0.500771388,0,1.199218202,0.82,4.018247636,0.589841117,5.137599454,7.81,2.43,0.094,3.03,6.382328417,3.61,4.074754929,5,4.43,0.024,6.828174606,0,3.073251898,2.88,1.836095277,3.117302978,5.128517924,5.737629487,0.13,1.539320329,8.529848763
not a US ally,Rwanda,Rwanda,132,8.01,Single-party rule,4,2.4,0,5.675902980,4.342260361,0.83,2.74,5.25,0.242,1.66,1.979584981,2.728446071,0.53,9.11,5.280604798,5.967012012,6.26,3.71,0.477,5.23,5.614473499,5.05,5.223584111,4.633968933,4.22,0.171,8.22,0,5.49,4.02,3.546427713,6.69,6.08,2.02,4.28,3.248382039,9.036543648
not a US ally,,Sao Tome and Principe,133,8.649355650,unknown,NA,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.03,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.319,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.086,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Saudi Arabia,Saudi Arabia,134,9.135717813,Monarchy,8,10.705561310,6.495798235,4.936321238,-1.270386331,10,4.951270060,6.558664811,0.013,10,13.267993311,8.955273735,0.35,5.394012626,5.116313433,4.524065551,7.44,5.56,0.15,3.87,9.405808619,4.47,2.564598817,5.5,3.6,0.042,7.745842566,4.013573785,6.086877133,4.234678944,8.979675298,5.565225692,9.433292356,7.266146618,3.89,8.818759820,7.485542830
not a US ally,Senegal,Senegal,135,9.59,Personalist rule,6,9.6,0,6.116995833,0,1.13,4.761253792,5.1,0.375,2.26,0,4.15,0.59,7.37,5.12,6.443800658,4.27,5.91,0.769,5.29,7.810869189,5.34,4.601237695,4.994061046,3.94,0.291,9.33,1.998917150,6.891902160,4.383862726,1.73,5.34,6.97,8.97,3.52,1.73,9.350463974
not a US ally,Serbia,Serbia,136,9.236513841,Single-party rule,4,2.968826884,1.233086730,6.069357022,4.066982884,1.607761166,3.801991678,5.149811514,0.094,2.408262795,1.074013184,2.859851562,1,5.036745379,2.641463714,5.662462725,5.83,6.01,0.617,5.64,8.019125737,5.62,5.305564907,5.615810837,5.7,0.12,8.929721770,2.143906113,5.463124189,4.794666209,2.650734728,4.581004491,7.068378706,8.337983845,2.91,2.670424497,8.885321710
not a US ally,Seychelles,Seychelles,137,9.024259839,unknown,NA,5.870932107,2.064509935,5.531112034,2.132686635,2.588544122,4.709827877,5.620606687,0.322,3.351548122,2.882865275,4.666350232,0.82,5.142170057,4.155602213,5.471193561,7.77,7.49,0.682,4.94,8.057063709,4.82,4.501331778,6.128795718,5.33,0.222,8.729066370,3.453156649,6.148052518,4.814216692,4.937377042,5.075240393,7.419258180,8.381425388,4.66,4.888358411,8.182132318
not a US ally,Sierra Leone,Sierra Leone,138,9.46,Multi-party authoritarian rule,5,9.6,0,6.536696849,-0.534898699,0.83,7.93,5.458244020,0.165,1.66,1.769699581,4.658452358,0.47,7.324424552,7.119080436,6.912028527,3.28,3.8,0.336,3.6,7.953998026,3.61,4.295072141,4.478951269,2.57,0.077,9.67,2.238926098,7.93,4.315387578,4.573994140,7.138008620,9.29,8.76,5.18,4.665103864,9.837864686
not a US ally,Singapore,Singapore,139,9.82,Multi-party authoritarian rule,5,9.8,5,7.93,0,4.58,7.96,6.78,0.307,4.16,0,7.84,0.88,7.35,6.737141144,5.810689670,9.34,8.06,0.866,7.28,8.858472256,5.82,4.989249424,7,6.93,0.263,9.66,6.618759501,7.96,5.49,9.13,6.34,7.32,9.8,4.37,9.13,9.65
not a US ally,Slovak Republic,Slovakia,140,8.744220609,Single-party rule,4,4.178901616,1.453915817,6.072844562,3.413676942,2.059059472,4.169738617,5.123708884,0.132,2.806108268,2.519053626,3.376984025,0.82,6.095457825,4.044764066,5.866720466,5.936136980,4.437030759,0.23,4.154404260,7.472040224,4.46,5.040168340,5.099342132,4.418640403,0.046,8.323347542,2.000504823,6.033789247,4.585007248,3.370237309,5.443985813,6.935812852,7.669883817,4.161833507,3.306787485,9.114705321
not a US ally,Slovenia,Slovenia,141,8.522425126,Single-party rule,4,3.194043194,0,5.829777823,4.168954156,0,4.216648255,4.988436839,0.094,1.028142251,-0.790698847,2.498300469,0.94,5.567161697,3.810793878,5.896984230,7.155194780,5.723964394,0.617,5.270425660,6.980779640,5.69,5.433103016,5.575904878,5.565894214,0.12,8.504912179,2.607567615,6.013519683,4.896132375,2.904845984,5.061591382,6.180032428,8.005556890,3.956884111,2.831357458,8.730108397
not a US ally,,Solomon Islands,142,8.649355650,unknown,NA,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.259,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.704,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.229,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Somalia,Somalia,143,8.613232790,Military rule,7,6.782913389,1.513113867,5.809335900,1.554684957,2.198155626,5.217802347,5.429512041,0.079,2.926416792,2.936070317,4.594387266,0.59,6.567417046,5.877208943,6.037126335,5.680223809,4.482676092,0.078,4.053845686,7.321476767,4.832953231,4.469859898,5.256021153,3.977203371,0.021,8.369706784,2.946711155,7.015271738,4.579662752,5.005738538,6.219760411,7.130950528,7.984576006,5.083315439,4.910823459,8.823056052
not a US ally,South Africa,South Africa,144,9.4,Other oligarchy,10,9,2,5.927718496,3,1.83,9.23,5.82,0.168,1.66,0,6.5,0.29,6.88,1.91,6.341258056,6.53,3.35,0.113,3.03,7.707431556,4.87,4.228432109,7,3.47,0.093,9.74,10,8.47,5.6,8.67,6.38,7.16,9.51,7.43,8.67,9.32
US ally,"Korea, Rep.",South Korea,145,6.17,Military rule,7,6,0,5.375144909,0,0.83,9.96,5.49,0.28,1.66,0,5.05,0.65,8.46,7.51,6.335641641,6.69,5.02,0.587,4.69,4.706608535,5.01,5.000107031,5.75,4.56,0.144,3.19,5.453036680,9.96,4.99,8.33,8.21,4.66,9.29,6.99,8.33,9.87
not a US ally,,South Sudan,146,8.649355650,Military rule,7,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.1,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.176,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.051,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Spain,Spain,147,8.81,Military rule,7,8.8,2,5.18,0,1.83,7.73,5.87,0.104,1.66,0,5.39,0.35,8.01,7.893426877,5.81,6.98,5.75,0.349,4.46,7.176016417,4.45,3.66,6.5,3.79,0.073,9.42,4.587177345,7.73,5.69,5.53,7.57,6.92,9.46,6.31,5.53,8.39
not a US ally,Sri Lanka,Sri Lanka,148,8.97,Democracy,0,0,0,7.040095124,7.384234885,0,6.180721479,4.91,0.662,0,0,0.08,0.88,7.62,7.38,6.554963326,7.54,7.03,0.766,4.58,6.778533080,6.79,6.743540916,5.226722079,5.93,0.495,9.86,3.487884421,7.259965878,5.729202254,0.25,6.8,6.83,8.5,4.17,0.25,8.02
not a US ally,Sudan,Sudan,149,8.100655543,Military rule,7,7.358398967,-0.522946309,5.041241061,-1.695607236,0,3.979795896,4.693393872,0.1,0,0.346824252,3.835365658,0.29,6.771855352,6.720275395,6.449788310,5.14,3.54,0.176,2.47,6.158638232,4.37,3.687135176,4.596184830,2.58,0.051,7.872836559,1.514789523,7.032512417,3.684872046,4.958206510,6.414732554,6.084219587,7.548818279,4.63,4.747408251,8.934900610
not a US ally,Suriname,Suriname,150,7.709079908,unknown,NA,9.703721014,3.030028772,5.112880356,1.688369293,4.16,7.105568341,6.262348022,0.539,4.16,5.185049490,6.875592523,0.47,6.751324267,7.866001623,5.498326257,8.43,4.75,0.803,5,6.911358540,6.83,4.077654591,6.494247280,4.96,0.444,7.655763888,5.995359844,7.972599720,5.274866742,8.190594732,6.812190612,7.077199364,7.555888951,6.2,7.937389226,7.415786534
not a US ally,Sweden,Sweden,151,8.97,Democracy,0,9,0,4.49,3,3.5,7.69,6.39,0.779,6.99,0,7.22,1,3.23,5.33,6.42,9.55,9.65,0.983,7.72,8,8.24,4.64,8.25,8.44,0.732,9.412760479,7.643113110,7.39,6.16,9.17,3.98,6.13,9.42,7.37,9.17,6.532442830
not a US ally,Switzerland,Switzerland,152,9.06,Democracy,2,10,2,6.21,3,2,8.79,7.75,0.626,4.575119833,10,6.47,0.71,7.32,9.63,6.86,9.38,9.1,0.952,7.77,8.297388986,8.53,5.36,9,7.4,0.572,9.67,8.963105552,8.79,7.07,7.41,8.23,9.59,9.63,7.73,7.41,7.513458199
not a US ally,Syrian Arab Republic,Syria,153,9.4,Military rule,7,6.6,0,5.298118128,0,0,1.87,4.33,0.094,0,0,3.47,0.41,6.09,4.101037916,6.282298078,3.79,3.03,0.197,3.34,7.263477949,3.18,3.670368236,4.279326537,2.42,0.043,8.51,0,3.74,3.32,3.8,5.82,6.62,8.57,1.71,3.8,9.66
US ally,Taiwan,Taiwan,154,9.32,Military rule,7,9.4,2,5.906158970,0,2,3.7,5.6,0.114,5.224608310,10,5.71,0.65,4.56,0.27,5.673308502,4.69,4.26,0.397,3.55,9.431107461,2.93,3.564417289,6.5,3.64,0.072,9.39,0,7.4,3.94,5.73,5.21,9.48,9.21,6.03,5.73,10
not a US ally,Tajikistan,Tajikistan,155,8.810972292,Single-party rule,4,1.905056464,0.578773492,6.140231188,2.970000985,1.254889636,2.024911041,4.295920966,0.102,2.030045573,2.004972636,1.764855267,0.82,6.047196009,2.517153291,6.024017718,4.679136354,2.659591066,0.094,2.842180089,7.227214925,2.69,5.015645769,4.047232966,3.224354852,0.024,7.962764472,-0.681127260,4.909018585,3.765444632,1.387261224,4.912205327,6.506846483,6.931413130,2.884567461,1.314189795,9.943342218
not a US ally,Tanzania,Tanzania,156,9.3,Single-party rule,4,3.8,0,5.549803832,5,0.83,2.12,4.7,0.248,1.66,0,3.48,0.88,4.753276567,2.789420821,5.683650426,5.7,4.72,0.686,5.34,7.792882095,6.24,4.703264067,5.554697843,5.42,0.24,8.809552797,0,4.23,4.23,5.8,4.14,6.22,9.36,2.41,5.8,10
US ally,Thailand,Thailand,157,9,Military rule,7,10,2,7.93,0,3.08,7.68,5.87,0.153,4.16,0,5.83,0.94,7.67,5.8,6.550404444,5.23,3.03,0.345,3.43,7.945594114,4.71,5.371033682,5.5,4.58,0.113,9.65,3.589882303,7.68,4.82,4.4,7.44,6.71,8.19,6.28,4.4,10
not a US ally,Timor-Leste,Timor,158,7.743486687,unknown,NA,6.262929505,1.612976405,5.324952828,1.639685797,2.324396825,4.343663532,5.107854043,0.017,2.895726004,3.886982537,4.405171501,0.53,6.803414506,5.843032837,5.796116799,7.53,3.2,0.118,2.36,6.449171684,4.01,4.271686431,5.032349100,3.54,,7.204120954,2.427054727,6.539310333,4.275477851,5.220665992,6.155178710,6.351380754,6.590368042,5.2,4.960933333,8.622449007
not a US ally,Togo,Togo,159,9.68,Military rule,7,9.6,0,4.743145671,-5.311328277,1.13,2.177720736,4.684211661,0.08,2.26,0,4.384202380,0.29,5.5,1.62,6.097868124,3.66,6.71,0.366,2.38,8.129925971,2.8,2.568108348,4.779909987,1.91,0.043,9,-0.061563605,5.730513678,2.868876710,4.710921058,4.18,6.89,8.88,5.41,4.682133715,8.938154307
US ally,Trinidad and Tobago,Trinidad and Tobago,160,9.2,Democracy,0,7.2,0,6.295232530,3.594822458,2.08,8.43,6.311480397,0.59,4.16,1.818865003,5.418190262,0.76,6.51,6.493933992,6.005306441,8,6.33,0.894,6.24,8.093807718,7.23,5.188112842,6.447571947,6.31,0.487,9.97,5.719986856,8.43,5.783873577,5.753637656,6.17,9.12,8.18,5.83,5.801107202,8.278657527
not a US ally,Tunisia,Tunisia,161,8.68,Single-party rule,4,4,0,6.128805916,3,0.83,5.45,4.96,0.191,1.66,0,2.79,0.71,5.69,0,6.168346260,7.5,5.2,0.67,5,7.637709714,5.15,5.161269188,5.459072170,5.02,0.156,9.69,2,8.9,4.88,3.53,5.23,6.88,9.16,6.25,3.53,8.99
US ally,Turkey,Turkey,162,8.24,Democracy,1,0,0,5.493861847,0,0.83,6.05,4.08,0.561,1.66,0,0.28,0.71,6.79,4.996398147,5.995596860,6.42,3.64,0.462,5.53,4.687283329,5.63,5.643905024,4.25,4.65,0.385,0,1.612883710,6.05,4.1,0,7.28,4.11,8.2,5.57,0,9.49
not a US ally,,Turkmenistan,163,8.649355650,Single-party rule,4,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.102,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.094,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.024,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Uganda,Uganda,164,1.67,Single-party rule,4,3.8,0,5.879509879,10,0.83,7.64,4.01,0.2,1.66,0,1.249338340,0.71,11.037714234,10,6.413203052,2.5,2.29,0.311,2.84,1.372521731,2.65,6.873159246,3.468332268,2.27,0.1,3.313119536,2.844764987,7.64,5.82,3.543634677,7.12,0.84,1.919402604,4.24,2.764903847,9.339554205
not a US ally,Ukraine,Ukraine,165,8.701241531,Single-party rule,4,2.586876856,0,5.647653466,2.203071716,0,2.305149271,4.403277621,0.102,1.131704801,0.305320851,1.979587856,0.82,5.488105265,2.842964017,5.932787410,5.698134002,3.889191322,0.094,3.762583637,7.039729146,3.58,4.813530935,5,3.91,0.024,8.135327668,0.251403740,5.099979504,3.925258748,2.092057660,4.711883675,6.215334479,7.354565079,3.024161342,1.995888655,9.303952209
US ally,United Kingdom,United Kingdom,166,8.54,Democracy,0,10,2,5.18,10,1,8.18,6.2,0.83,0,0,4.36,0.82,5.12,6.76,4.75,8.65,8.87,0.94,7.21,8,8.11,6.64,8.25,7.34,0.739,8.918185915,10,6.54,7.41,2.07,5.88,5.99,9.41,5.78,2.07,7.463352647
not a US ally,United States,United States,167,8.99,Democracy,2,10,8,7.59,0,9,9.34,7.81,0.709,10,10,9.13,1,5.11,6.12,5.45,8.25,7.59,0.919,7.42,10,7.88,4.35,8.75,8.07,0.636,9.75,10,8.01,6.84,8.4,5.41,9.59,9.62,7.85,8.4,7.98
US ally,Uruguay,Uruguay,168,9.87,Democracy,2,9.4,8,4.858844721,10,5.43,4.384237027,6.05,0.597,2.86,10,7.23,0.94,6.75,0,4.002866005,8.16,4.45,0.643,5.12,6.215058662,6.33,4.985334456,6.503613195,6.34,0.454,2.04,4.780015708,5.076179862,5.344685605,6.87,5.13,5.48,0,6.36,6.87,7.41
not a US ally,,Uzbekistan,169,8.649355650,Single-party rule,4,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.102,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.094,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.024,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,,Vanuatu,170,8.649355650,unknown,NA,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.154,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.83,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.168,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
US ally,"Venezuela, RB",Venezuela,171,9.74,Democracy,2,10,8,7.24,0,6.76,9.68,7.19,0.689,5.51,10,8.27,0.88,6.6,7.656904023,6.012279445,2.93,6.34,0.844,5.42,9.692560949,5.99,4.727163268,5,4.55,0.561,9.53,5.917862647,9.68,5.4,8.07,8.03,9.71,9.58,7.65,8.07,9.83
not a US ally,Vietnam,Vietnam,172,7.851218973,Single-party rule,4,-1.364669095,-0.706539130,5.477589457,4.191200731,0,-0.102067564,3.445518985,0.219,0,-0.373579161,-0.231561497,0.88,5.411186904,0.821130290,5.724294111,7.34,2.55,0.12,3.2,5.951451741,2.84,5.328260103,2.5,3.74,0.076,6.830547803,-1.954490133,3.509142043,3.439181677,-0.114649581,3.861575666,4.834426402,5.478351738,0.95,-0.353210540,9.704126268
not a US ally,"Yemen, Rep.",Yemen,173,8.686476138,Personalist rule,6,7.644733236,1.035370981,5.135846428,-1.410058346,1.759021532,4.053295791,5.134114497,0.028,2.488369981,2.872736260,4.790980774,0.41,6.076586143,5.734735672,5.982396155,5.87,5.02,0.152,2.94,7.273908478,3.94,3.543026331,5.106736460,3,0.036,8.216628985,1.973728830,6.599345574,3.859108064,5.448595372,5.906320028,7.062449453,7.871695110,4.61,5.308056867,8.654886625
not a US ally,,Yemen People's Republic,174,8.649355650,Single-party rule,4,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.078,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.221,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.097,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Zambia,Zambia,175,7.72,Multi-party authoritarian rule,5,0,2,6.137637135,10,1.83,7.33,5.33,0.276,1.66,0,2.396795120,0.71,3.45,4.076932213,5.704836654,6.74,6.07,0.481,4.17,6.272573086,5.63,6.119468881,5.380879800,4.7,0.199,8.3,3.018700127,7.33,6.4,2.843216100,5.07,5.13,4.51,2.65,2.651789548,9.11
not a US ally,,Zanzibar,176,8.649355650,Single-party rule,4,6.300111610,1.699655149,5.897546240,2.392233801,2.336803744,5.316401485,5.506573450,0.016,3.065907186,2.897600819,4.499966653,0.680524250,6.393604068,5.519733925,5.932563684,6.079327553,4.887145703,0.26,4.405145444,7.439855686,5.105874921,4.700103457,5.444572998,4.434642598,0.041,8.437480015,3.212626030,6.896901145,4.776903203,4.834430917,6.041385460,7.157305589,8.036588244,5.025106460,4.754259419,8.740967084
not a US ally,Zimbabwe,Zimbabwe,177,7.59,Other oligarchy,10,7.2,0.164110819,5.806267204,3,0.535314569,5.368353442,4.983551277,0.196,1.041202391,0,3.284083173,0.65,7.81,6.817807559,6.372513564,6.84,0.5,0.099,3.72,5.692493685,5.27,5.147718517,4.836547331,4.34,0.128,7.492881568,2.940671608,7.393947725,4.750613468,4.299367123,6.59,5.04,7.52,5.37,4.067936875,8.993655734
not a US ally,United Arab Emirates,United Arab Emirates,178,7.883239964,unknown,NA,8.920036053,1.186616109,4.578971407,-1.635512438,1.806293055,4.705108913,5.318298528,,2.371216881,3.102183414,5.550553286,0.29,6.321990957,6.984351105,5.804900587,7.42,4.408226986,,3.28,6.522117075,4.82,3.297957200,5.563633692,3.35,,7.542050942,3.229744238,7.077769569,4.057185116,6.938671058,6.276405894,6.520490089,7.322635384,5.128654440,6.661771216,7.942937614
not a US ally,"Bahamas, The","Bahamas, The",179,8.77,unknown,NA,7.2,0,7.506362600,6.740749707,0,9.74,6.444528335,,2.161352638,-0.672399107,3.98,0.88,7.929654392,8.271011677,6.864895007,6.896838827,6.959718830,,6.127875886,7.489257592,7.31,6.570835958,5.955041601,6.064304035,,10.045085949,10,9.48,6.624903160,4.73,7.775760296,9.03,9.3,7.359643796,4.73,9.75
not a US ally,Belize,Belize,180,8.53,unknown,NA,7.526887816,3.728437728,6.498266845,4.938870519,4.512455941,7.687107378,6.552628620,,5.312213245,5.318373907,6.115196316,0.88,6.550789561,6.172707795,5.631109110,7.221136518,6.551369318,,5.664333224,8.370304743,6.3,5.273427090,6.417458072,5.859747577,,8.981265133,5.845634576,7.754923840,5.902860693,6.148179594,6.456748993,8.74,8.95,6.257621683,6.155687693,8.277202139
not a US ally,Brunei Darussalam,Brunei Darussalam,181,8.613232790,unknown,NA,6.782913389,1.513113867,5.809335900,1.554684957,2.198155626,5.217802347,5.429512041,,2.926416792,2.936070317,4.594387266,0.59,6.567417046,5.877208943,6.037126335,5.680223809,4.482676092,,4.053845686,7.321476767,4.832953231,4.469859898,5.256021153,3.977203371,,8.369706784,2.946711155,7.015271738,4.579662752,5.005738538,6.219760411,7.130950528,7.984576006,5.083315439,4.910823459,8.823056052
not a US ally,Montenegro,Montenegro,182,8.751386044,Single-party rule,4,3.934816543,1.359973985,6.080078154,3.366050710,1.972736156,3.939502889,5.034850294,,2.722802103,2.463869791,3.203930655,0.82,6.090277178,3.880783248,5.883605482,5.801204710,4.246232148,,4.013544038,7.445759543,4.27,5.037535974,4.986403860,4.290440259,,8.284640884,1.712646012,5.913051153,4.497031600,3.157375470,5.386902032,6.889765615,7.590612952,4.024725852,3.092892818,9.203655044
